"","Steuerpflichtige insg.","Unselbstständige Erwerbstätige"
"0 b. unter 2",633233,378754
"2 b. unter 4",306323,215053
"4 b. unter 6",282562,174486
"6 b. unter 8",238720,134840
"8 b. unter 10",259866,146174
"10 b. unter 12",383796,141229
"12 b. unter 15",423225,210715
"15 b. unter 18",420692,221043
"18 b. unter 20",269767,151908
"20 b. unter 25",653118,382284
"25 b. unter 30",619776,408456
"30 b. unter 35",539918,375006
"35 b. unter 40",396248,294782
"40 b. unter 50",479343,387214
"50 b. unter 70",417649,358633
"70 b. unter 100",185660,162993
"100 b. unter 150",66911,61000
"150 b. unter 200",14056,13131
"200 und mehr",11020,10379
"Insgesamt ...",6601883,4228080
